Activity.Therapeutic area_Immunology,Activity.Therapeutic area_Neurology,Activity.Therapeutic area_Others,Project.Legal entity (Plant)_BE11,Project.Legal entity (Plant)_CN01,Project.Legal entity (Plant)_DE10,Project.Legal entity (Plant)_GB01,Project.Legal entity (Plant)_JP01,Project.Legal entity (Plant)_Others,Project.Legal entity (Plant)_US05,Project.Responsibility_Medical Affairs.1,Project.Responsibility_Others,Project.Responsibility_PVU Immunology,Project.Responsibility_PVU Neurology,Project.Responsibility_PVU New Medicines,Project.Responsibility_SPEAR,Project.Impact on patient_Direct impact on patients,Project.Impact on patient_Others,Project.Impact on patient_false,Project.R&D Priority_Core,Project.R&D Priority_Focused,Project.R&D Priority_Platinum,Project.R&D Priority_false,Activity.Number of patients,Activity.Number of sites,Activity.Nb of target countries,Activity.Duration,indication,OUTPUT
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,200.0,40.0,1.0,1019520.0,1,1.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,36.0,1.0,1.0,1663200.0,2,77.0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,210.0,25.0,4.0,2221920.0,2,23.375
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,30.0,10.0,5.0,3424320.0,1,11.75
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24.0,3.0,1.0,1149120.0,1,1.5
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,276.0,50.0,10.0,2773440.0,3,184.0375
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,24.0,1.0,1.0,946080.0,1,13.45
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28.0,1.0,1.0,1139040.0,2,31.175
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,195.0,38.0,6.0,2244960.0,2,82.25
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,200.0,40.0,10.0,1648800.0,2,25.875
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,24.0,1.0,1.0,1164960.0,1,0.6
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,150.0,87.0,15.0,2672640.0,2,74.415
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,200.0,200.0,6.0,1451520.0,1,1.15
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,12.0,1.0,1.0,937440.0,2,95.25
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1045.5,162.0,14.0,4099680.0,1,12.75
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,16.0,10.0,1.0,2301120.0,2,32.3125
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,320.0,30.0,1.0,3600000.0,1,15.1
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,12.0,1.0,1.0,1192320.0,2,27.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,200.0,40.0,1.0,3813120.0,2,21.28
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,240.0,99.0,14.0,2740320.0,1,1.55
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,490.0,90.0,11.0,2167200.0,1,1.8
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,743.0,83.0,11.0,2388960.0,1,5.15
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1120.0,190.0,13.0,2943360.0,1,1.35
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,300.0,95.0,14.0,2741760.0,1,1.55
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,490.0,90.0,11.0,2193120.0,1,1.8
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,840.0,152.0,14.0,2645280.0,1,1.55
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,340.0,15.0,1.0,2774880.0,3,219.59
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,340.0,12.0,1.0,3327840.0,3,282.8625
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,700.0,50.0,1.0,2574720.0,2,80.02
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,700.0,30.0,1.0,2547360.0,2,61.89
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,700.0,30.0,1.0,2810880.0,3,129.46200000000002
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5.0,2.0,1.0,900000.0,1,4.6339999999999995
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,266.0,29.0,1.0,2083680.0,3,396.9845
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,400.0,200.0,19.0,3119040.0,1,18.23
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,250.0,10.0,5.0,2639520.0,1,3.8760000000000003
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,80.0,20.0,1.0,2462400.0,2,56.5
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,200.0,100.0,1.0,1909440.0,1,12.35
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,40.0,4.0,1.0,1091520.0,1,11.04
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,60.0,23.0,10.0,1478880.0,1,18.721
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,240.0,30.0,5.0,1605600.0,1,14.455
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,74.0,15.0,1.0,2005920.0,1,15.35
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,150.0,20.0,1.0,1978560.0,2,20.125
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,100.0,28.0,6.0,2512800.0,1,0.5
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,34.0,24.0,10.0,2626560.0,1,10.545
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,500.0,20.0,1.0,2556000.0,1,7.125
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,285.0,100.0,10.0,2077920.0,1,15.795
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,199.0,22.0,7.0,5135040.0,2,88.625
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,260.0,60.0,1.0,1830240.0,1,2.385
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,300.0,85.0,10.0,2780640.0,1,17.985
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,200.0,65.0,9.0,5497920.0,1,19.92
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,100.0,1.0,1.0,1421280.0,1,4.5
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3121.0,104.0,1.0,7068960.0,1,0.06
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1500.0,100.0,8.0,2276640.0,1,2.07
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,285.0,53.0,10.0,3219840.0,1,11.84
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,100.0,15.0,5.0,2121120.0,1,8.0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,187.0,25.0,1.0,3414240.0,1,10.0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1068.0,160.0,1.0,3800160.0,2,45.05
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,200.0,60.0,15.0,1834560.0,1,18.61
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,217.0,37.0,6.0,1556640.0,1,5.66
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,160.0,35.0,4.0,3291840.0,1,7.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,25.0,6.0,4.0,1620000.0,1,2.625
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,40.0,20.0,1.0,1424160.0,1,8.35
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,76.0,80.0,1.0,3359520.0,1,1.9
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,270.0,80.0,1.0,5921280.0,1,1.1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,12.0,1.0,1.0,1501920.0,1,17.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,45.0,21.0,6.0,3098880.0,1,6.5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,24.0,1.0,1.0,943200.0,1,11.4
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,100.0,10.0,1.0,2351520.0,1,4.895
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,500.0,50.0,4.0,2194560.0,1,5.9
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6.0,5.0,4.0,2191680.0,1,1.877149
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20.0,3.0,1.0,1761120.0,1,1.8
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,8.0,1.0,1.0,937440.0,1,0.5
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,200.0,40.0,1.0,2099520.0,1,9.5
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,24.0,1.0,1.0,839520.0,2,61.1
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,33.0,2.0,1.0,3124800.0,1,19.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,24.0,1.0,1.0,892800.0,3,114.45
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10.0,8.0,1.0,1497600.0,1,7.1
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,12.0,1.0,1.0,2341440.0,1,1.9
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,20.0,6.0,1.0,2278080.0,2,24.65
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,200.0,40.0,1.0,2018880.0,1,7.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,30.0,1.0,1.0,3471840.0,1,19.0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,20.0,6.0,1.0,2118240.0,2,26.225
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,24.0,1.0,1.0,2239200.0,1,3.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,40.0,1.0,1.0,1031040.0,2,33.8
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,80.0,44.0,10.0,1440000.0,1,8.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,24.0,1.0,1.0,1202400.0,2,23.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,30.0,1.0,1.0,3369600.0,1,8.5
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,82.0,30.0,1.0,2509920.0,2,35.6875
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,600.0,30.0,1.0,2983680.0,1,8.1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,200.0,30.0,1.0,2818080.0,1,2.9
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,200.0,40.0,1.0,3268800.0,1,4.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1360.0,140.0,10.0,3961440.0,1,3.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,90.0,1.0,1.0,1229760.0,1,8.4
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,200.0,1.0,1.0,5328000.0,1,1.47
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1008.0,260.0,30.0,2806560.0,1,0.05
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,102.0,14.0,5.0,2286720.0,2,39.8
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,46.0,2.0,2.0,1283040.0,3,157.775
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,36.0,1.0,1.0,933120.0,1,0.5
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,559.0,70.0,9.0,2599200.0,1,7.95
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,20.0,12.0,4.0,1945440.0,1,4.6
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,16.0,12.0,4.0,1627200.0,1,4.85
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,36.0,1.0,1.0,933120.0,2,21.25
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6.0,7.0,4.0,1490400.0,1,1.875
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,57.0,1.0,1.0,1008000.0,2,28.575
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,8.0,1.0,1.0,927360.0,1,3.1
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,32.0,1.0,1.0,845280.0,1,0.2
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,15.0,10.0,5.0,1877760.0,3,149.31681
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,24.0,1.0,1.0,779040.0,2,62.301724
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,12.0,1.0,1.0,1284480.0,2,43.114224
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,60.0,34.0,9.0,1755360.0,3,222.543079
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,50.0,20.0,8.0,1169280.0,2,41.975
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,24.0,1.0,1.0,1296000.0,1,0.5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,36.0,1.0,1.0,2168640.0,1,5.59375
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,8.0,1.0,1.0,813600.0,2,36.1875
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,57.0,39.0,13.0,2144160.0,2,31.9
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,40.0,8.0,4.0,1353600.0,3,215.869731
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5.0,1.0,1.0,976320.0,1,17.375
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,24.0,1.0,1.0,2008800.0,1,0.25
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,40.0,1.0,1.0,915840.0,2,71.394636
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,24.0,1.0,1.0,915840.0,2,61.363985
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,24.0,1.0,1.0,976320.0,2,99.78125
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,24.0,1.0,1.0,849600.0,2,53.903486
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,10.0,1.0,1.0,1291680.0,1,3.25
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24.0,1.0,1.0,959040.0,2,57.870929
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28.0,1.0,1.0,1117440.0,2,69.53125
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28.0,1.0,1.0,943200.0,2,57.318008
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28.0,1.0,1.0,830880.0,2,49.90038300000001
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,200.0,40.0,1.0,1065600.0,1,0.625
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,50.0,1.0,1.0,1126080.0,2,76.03965500000002
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,18.0,1.0,1.0,864000.0,1,1.375
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,56.0,1.0,1.0,1248480.0,2,64.988146
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,50.0,1.0,1.0,1039680.0,1,2.025
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,20.0,10.0,6.0,1670400.0,2,30.6125
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1048.0,230.0,7.0,1802880.0,1,3.875
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,24.0,1.0,1.0,1143360.0,2,63.134099
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24.0,2.0,1.0,1075680.0,2,95.013194
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24.0,1.0,1.0,1064160.0,1,18.375
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,90.0,17.0,5.0,2014560.0,3,165.98625
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,52.0,1.0,1.0,1033920.0,2,55.876197
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,80.0,1.0,1.0,3432960.0,2,85.122845
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,80.0,1.0,1.0,1323360.0,3,103.03125
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28.0,1.0,1.0,879840.0,2,57.318008
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,76.0,4.0,1.0,1537920.0,1,2.6375
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28.0,2.0,2.0,989280.0,2,64.646911
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10.0,1.0,1.0,1981440.0,1,0.375
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,36.0,1.0,1.0,1262880.0,3,125.95
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,40.0,20.0,7.0,1304640.0,3,145.19156999999996
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,26.0,1.0,1.0,747360.0,1,1.375
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,36.0,1.0,1.0,855360.0,1,0.75
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,24.0,1.0,1.0,840960.0,2,61.86973199999999
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,24.0,1.0,1.0,1945440.0,3,246.13026800000003
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,43.0,9.0,4.0,1666080.0,1,6.574713
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,20.0,1.0,1.0,947520.0,2,27.225
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,28.0,1.0,1.0,855360.0,2,43.679789
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,32.0,1.0,1.0,964800.0,2,45.49413300000001
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,52.0,1.0,1.0,1172160.0,2,52.175
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,12.0,1.0,1.0,455040.0,2,48.1875
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,48.0,2.0,1.0,1031040.0,1,6.25
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,50.0,1.0,1.0,849600.0,2,32.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,398.0,82.0,1.0,4021920.0,1,1.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,160.0,45.0,2.0,3103200.0,3,169.67816000000005
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,227.0,23.0,4.0,2406240.0,1,17.954023
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24.0,1.0,1.0,3180960.0,1,4.7
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,402.0,71.0,7.0,4475520.0,1,4.45
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,194.0,50.0,5.0,2473920.0,1,0.97
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,150.0,10.0,1.0,3523680.0,1,13.8375
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,14.0,13.0,1.0,2448000.0,2,39.8375
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,200.0,40.0,4.0,3673440.0,1,10.5315
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,545.0,50.0,1.0,3320640.0,1,11.91875
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1000.0,100.0,4.0,3160800.0,1,5.34375
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3000.0,500.0,1.0,4034880.0,1,8.7
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,150.0,75.0,1.0,1823040.0,2,31.5
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,700.0,200.0,1.0,3061440.0,1,8.925
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,374.0,50.0,2.0,2282400.0,2,44.681000000000004
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,200.0,40.0,1.0,2105280.0,1,7.044
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,200.0,40.0,1.0,2155680.0,2,63.0705
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,9.0,5.0,1.0,2502720.0,1,1.0
